config_id,fetchWidth,decodeWidth,MemDispatchWidth,MemIssueWidth,MemNumEntries,IntDispatchWidth,IntIssueWidth,IntNumEntries,FpDispatchWidth,FpIssueWidth,FpNumEntries,maxBrCount,numFetchBufferEntries,numRasEntries,numRobEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,numDCacheBanks,ICacheWay,ICacheFetchBytes,ICacheTLB,DCacheWay,DCacheMSHR,DCacheTLB,ipc_Dhrystone,ipc_median,ipc_mm,ipc_multiply,ipc_qsort,ipc_rsort,ipc_spmv,ipc_towers,ipc_vvadd,avg_ipc,power_w,area_um2,runtime_s
2001,8,3,3,2,32,3,1,16,3,3,32,8,24,24,96,64,64,32,32,2,8,16,32,8,4,32,1.2729038302411937,0.6713375796178344,1.8727080660982418,0.779658284977434,0.5737997186459721,1.392012291283919,1.1189196191463178,1.0075560187597707,0.8846834099752388,1.063730979860658,0.5123730000000001,1833184.539936,7876
2002,4,1,1,1,64,1,1,16,1,1,16,16,20,32,130,112,112,32,32,2,4,8,8,4,2,8,0.9912821195579816,0.5651811248808389,0.9634704968944099,0.7759063201796599,0.49367867286083494,0.9796279133628532,0.7932863407801989,0.7282485875706215,0.6630434782608695,0.7726361171498075,0.336765,1102122.070287,4944
2003,8,4,4,2,32,4,1,16,4,4,32,20,24,24,32,112,112,32,32,2,4,16,8,4,2,8,1.307672312653239,0.65875,2.0581308566216103,0.7786040821582642,0.5750251246929204,1.2992382281976964,0.9491758241758241,0.992811296534018,0.8800140745953554,1.0554913110698807,0.49991399999999997,1746084.676484,9126
2004,4,2,2,2,16,2,1,16,2,2,32,8,32,32,96,112,112,32,32,2,8,8,16,8,4,16,1.2639663192204529,0.6506172839506172,1.5802241181713994,0.7794823863086989,0.5361778741865509,1.3843038343074723,1.0129291389369375,0.9315827511443026,0.8824982357092449,1.0024202157706306,0.34905200000000003,1383965.546458,5728
2005,8,2,2,2,64,2,1,16,2,2,16,8,32,24,32,112,112,8,8,2,2,16,16,2,8,16,1.130390424310882,0.6384439359267735,0.9806392982733415,0.7798594092609312,0.5661066170744891,0.8522264083332919,0.8197693731314952,0.7790088638195004,0.8639032815198618,0.8233719568500629,0.46299900000000005,1432319.484713,6451
2006,8,5,5,2,64,5,3,16,5,2,32,8,40,24,130,64,64,32,32,2,8,16,16,8,2,16,2.000515879413187,0.7658646859357339,1.8857989514474585,1.4588611412715646,0.612017609452453,2.1033902468984156,1.280198606788202,1.106121281464531,1.064708386547467,1.3641640876910017,0.501384,1862590.485763,10535
2007,8,3,3,1,32,3,2,16,3,3,64,12,24,24,96,48,48,8,8,1,2,16,16,2,8,16,1.4355632336382287,0.6993512238277794,0.8986205148629567,1.1745993200582807,0.5840358769824018,0.8392366165291929,0.767044823835002,0.7914449447400737,0.8530013642564802,0.8936553243033774,0.466781,1438185.499989,8077
2008,8,3,3,1,32,3,1,64,3,2,64,20,24,16,96,112,112,32,32,2,4,16,32,4,4,32,1.2576127127404415,0.6702939513849633,2.1338663915398506,0.7844122989102231,0.5722348779494018,1.424802176680562,1.0944280781779594,0.8217169570760731,0.8856232294617564,1.0716656304356926,0.537194,1739302.451673,10959
2009,4,2,2,1,16,2,1,64,2,2,64,20,24,16,130,48,48,24,24,1,8,8,32,8,8,32,1.3530027476121942,0.613345402819087,1.2182300103077603,0.7818763739816371,0.5362523213634864,1.3285205558098578,0.8879693644144029,0.8217169570760731,0.8711250435388367,0.9346709752137039,0.36106900000000003,1313955.457241,6341
2010,8,4,4,2,64,4,2,16,4,2,32,20,16,24,64,48,48,32,32,2,8,16,32,8,8,32,1.387712196103867,0.7407465250663752,1.0827589215600733,1.1207136237256718,0.595707248416608,1.2964838958797074,0.9168347309202844,0.9189638783269962,0.8054750402576489,0.985044006695248,0.5331509999999999,1892418.045367,11119
2011,4,2,2,1,16,2,2,32,2,2,64,16,8,24,96,48,48,8,8,1,4,8,32,4,4,32,1.3350594952052388,0.6510638297872341,1.0993046020286132,1.094343891402715,0.5443657970427207,1.255799115556957,0.8188950250053328,0.7535074045206547,0.8977027997128499,0.9388935511402572,0.306582,1039958.648711,5023
2012,8,2,2,2,64,2,2,64,2,1,64,20,32,16,128,64,64,32,32,2,2,16,16,2,8,16,1.7878287262039687,0.7117346938775511,1.1784900284900286,1.2058735540486638,0.5846851833453971,0.9946502631303802,1.0631750623134444,1.0414758955022894,1.0060337892196298,1.0637719106812615,0.523004,1612864.201604,9394
2013,4,1,1,1,16,1,1,16,1,1,16,12,40,16,128,112,112,32,32,1,8,8,16,8,8,16,0.9913296336930009,0.557409801386767,0.9634704968944099,0.777427754026166,0.49062333764718025,0.9909491264518145,0.8111280666744923,0.7282485875706215,0.669970533083311,0.7756174819364181,0.349441,1242414.44987,4942
2014,8,3,3,1,64,3,3,64,3,2,32,20,24,16,96,112,112,8,8,1,8,16,16,8,8,16,1.7475449236720055,0.7253402660957333,1.3708367854183927,1.468516606958528,0.5994257417098735,1.745588550108566,1.0635023240065258,0.8007869124042245,1.0212331563903634,1.1714194740849126,0.561813,1935391.470236,16809
2015,4,2,2,2,64,2,1,64,2,1,16,8,16,24,32,112,112,8,8,2,2,8,8,2,8,8,1.1390857352671195,0.6289616761702692,0.8381399432662434,0.7811692506459949,0.5342333112877639,0.8586579348523748,0.8117760390968257,0.7832691918168928,0.8460757780784844,0.8023743178313298,0.31196199999999996,1012564.089939,5924
2016,4,1,1,1,64,1,1,16,1,1,64,12,40,16,96,112,112,32,32,2,2,8,16,2,4,16,0.9913137951419031,0.5542182752979669,0.8788908955699565,0.7736476760180416,0.4900513886025155,0.8153560459967145,0.770105206847361,0.7278373800112931,0.6602428722280888,0.7401848373015378,0.333951,1019159.194153,5297
2017,8,5,5,2,32,5,2,16,5,1,16,8,40,32,130,64,64,32,32,2,2,16,32,2,2,32,1.8765235450082163,0.7666074026183934,1.1119125487209354,1.2368313388565,0.6023090568833093,0.9261510836114251,1.039347813007641,1.067642186637217,1.0121408336705786,1.071051756557135,0.459301,1444046.557023,8635
2018,8,1,1,1,64,1,1,16,1,1,32,20,40,32,32,96,96,24,24,1,2,16,16,2,4,16,0.9913982732632768,0.553184044786564,0.8946685411484806,0.7765540714102235,0.4935386999129442,0.826198138560931,0.7764917406450162,0.7230740463724757,0.6640998406797664,0.7443563774199643,0.475491,1386962.682224,5846
2019,4,1,1,1,64,1,1,32,1,1,64,16,20,32,32,48,48,32,32,2,2,8,32,2,4,32,0.9912715614798404,0.5557117750439368,0.8189467432191645,0.7770281124497992,0.492608226014102,0.7729219797332371,0.7095330020125683,0.725515947467167,0.6642762284196547,0.7230903973154966,0.311438,955925.977718,4800
2020,4,3,3,1,64,3,3,32,3,2,16,16,24,32,96,112,112,32,32,1,2,8,16,2,4,16,1.579167055509837,0.6742004264392324,1.187511961722488,1.092662871600253,0.5453169606021965,0.9787823880102201,0.9283641444539983,0.8426672477663979,0.9940381558028617,0.9803012457674983,0.364459,1188046.429209,11070
2021,8,1,1,1,32,1,1,16,1,1,64,16,24,24,128,64,64,32,32,1,4,16,8,4,8,8,0.9916517940385179,0.5499130434782609,0.9641816557243308,0.774911887215636,0.49269463369517985,0.9835723763189487,0.8143207315923446,0.7290723981900452,0.6669333333333334,0.7741390948429552,0.488269,1484007.53343,6055
2022,8,4,4,1,16,4,4,64,4,4,64,16,40,16,96,96,96,16,16,2,2,16,8,2,8,8,1.977477716750417,0.7312673450508789,1.5464514923048165,1.5060090914751854,0.5992019626095726,1.0398671298095608,1.150286323078972,0.848398420359807,1.0154283394234673,1.1571542023180752,0.513889,1720730.708745,14463
2023,4,4,4,2,64,4,4,32,4,4,64,8,16,24,32,96,96,16,16,2,2,8,32,2,2,32,1.6235324901875272,0.6781527023162711,1.0504952171336663,1.0840430300313761,0.544437738708299,0.8884029323413594,0.842724035318796,0.9787395596051632,0.9469897765997728,0.9597241646935812,0.327488,1239743.42956,11635
2024,8,4,4,2,16,4,4,16,4,2,64,20,20,24,96,96,96,8,8,2,8,16,8,8,4,8,1.5673459077130347,0.771094131035604,1.394404180010113,1.4695874096129307,0.6137439228481048,1.8831738700098977,1.1146239958705682,0.8268120590121874,1.001200960768615,1.1824429374312286,0.512245,1883344.700325,8911
2025,8,1,1,1,16,1,1,32,1,1,16,8,40,24,64,112,112,32,32,2,8,16,16,8,4,16,0.9913349133225042,0.5622332859174964,0.9641816557243308,0.7764044943820225,0.4951879156983733,0.9917526250861515,0.8238744753910721,0.7190405355150613,0.6665778251599147,0.7767319695774364,0.489213,1694992.422062,5470
2026,8,3,3,1,32,3,1,32,3,3,16,16,24,16,96,64,64,24,24,2,2,16,16,2,2,16,1.291880374506361,0.6606769745089845,1.2715954503535198,0.7830408599365408,0.5665192179872109,0.8707039890168561,0.9731297881928797,0.8435863874345549,0.8630089717046239,0.9026824459601701,0.467157,1453986.462228,6988
2027,8,5,5,2,16,5,5,32,5,5,16,12,20,32,130,112,112,8,8,2,4,16,8,4,2,8,1.5953272710131388,0.7915554072096128,1.5120628731570611,1.495116221562809,0.6136677358809101,1.6467629635328511,1.0333791948316084,0.8395570994355189,1.0048212133386902,1.1702499977735779,0.501764,1821854.355564,11247
2028,8,1,1,1,64,1,1,32,1,1,64,20,20,16,32,96,96,8,8,2,8,16,8,8,8,8,0.9367696349307002,0.5643069601427722,0.8898888490498387,0.7788548241659152,0.497808801849629,0.9902213638045891,0.7288106990676285,0.6809297411516112,0.6680021367521367,0.7483992234349801,0.508475,1725876.098243,5838
